red_alliance_total,blue_alliance_total,red_one_skill,red_two_skill,red_three_skill,blue_one_skill,blue_two_skill,blue_three_skill,red_baseline,blue_baseline,auto_red_lev_cubes,auto_red_boost_cubes,auto_red_force_cubes,auto_red_overflow_cubes,auto_blue_lev_cubes,auto_blue_boost_cubes,auto_blue_force_cubes,auto_blue_overflow_cubes,auto_red_own_switch_control,auto_red_opposite_switch_control,auto_blue_own_switch_control,auto_blue_opposite_switch_control,auto_red_scale_control,auto_blue_scale_control,auto_red_own_switch_cubes,auto_red_opposite_switch_cubes,auto_blue_own_switch_cubes,auto_red_opposite_switch_cubes,auto_red_scale_cubes,auto_blue_scale_cubes,red_alliance_auto_total,blue_alliance_auto_total,red_num_climbed,blue_num_climbed,red_num_parked,blue_num_parked,red_lev_cubes,blue_lev_cubes,red_boost_cubes,blue_boost_cubes,red_force_cubes,blue_force_cubes,red_overflow_cubes,blue_overflow_cubes,red_boost_time,red_force_time,red_boost_cubes_used,red_force_cubes_used,red_lev_time,red_lev_used,blue_boost_time,blue_force_time,blue_boost_cubes_used,blue_force_cubes_used,blue_lev_time,blue_lev_used,red_own_switch_control,red_opposite_switch_control,blue_own_switch_control,blue_opposite_switch_control,red_scale_control,blue_scale_control,red_own_switch_cubes,red_opposite_switch_cubes,blue_own_switch_cubes,red_opposite_switch_cubes,red_scale_cubes,blue_scale_cubes
166,214,6,5,3,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,9,97,140,7,109,11,17,11,17,29,49
187,270,6,5,1,6,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,3,1,3,0,3,0,3,0,14,0,0,0,0,0,0,False,0,0,0,0,0,False,0,15,131,149,0,140,14,24,11,24,4,15
254,93,1,10,9,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,0,0,2,2,1,1,3,0,3,0,3,0,3,0,0,0,0,0,0,False,0,0,0,0,0,False,0,135,8,124,135,0,5,12,14,12,72,37
183,139,3,1,5,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,3,0,3,0,14,0,0,0,0,0,0,False,0,0,0,0,0,False,4,43,64,136,124,0,11,4,12,4,4,1
320,219,2,3,7,2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,129,1,130,0,0,141,57,9,12,9,2,46
309,93,9,3,6,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,91,59,42,26,0,123,48,32,7,32,7,35
289,100,8,9,5,1,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,3,2,0,1,0,2,0,3,0,2,0,0,0,0,0,0,0,False,0,0,0,0,0,False,53,135,0,37,0,136,30,58,5,58,8,23
155,206,6,2,1,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,23,0,130,119,0,107,30,1,40,1,12,32
315,132,5,3,9,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,3,0,3,0,3,0,8,0,0,0,0,0,False,0,0,0,0,0,False,143,14,77,0,103,10,36,26,28,26,5,3
282,250,2,4,9,5,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,92,0,147,36,0,139,27,6,39,6,4,8
